ts,rss_bytes,qps,queries_delta,blocked_delta,cache_entries,cache_bytes,cache_hits,cache_misses,cache_evictions,cache_expired,block_p99,cache_hit_p99,forward_p99
2026-07-31T04:50:52Z,40747008,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2026-07-31T04:52:52Z,42856448,0.6167,37,18,68,54816,12,76,0,0,0.0001,0.001,0.01
2026-07-31T04:54:52Z,43560960,1.1667,70,59,100,102512,23,108,0,0,0.0001,0.0001,0.005
2026-07-31T04:56:52Z,46911488,2.05,123,66,190,204464,39,200,0,0,0.00025,0.001,0.1
2026-07-31T04:58:52Z,47366144,0.85,51,40,196,212208,55,206,0,0,0.0001,0.0001,0.005
2026-07-31T05:00:52Z,47411200,0.6167,37,34,196,212208,60,206,0,0,0.0001,0.0001,0.0
2026-07-31T05:02:52Z,52482048,2.0333,122,38,280,250384,65,290,0,0,0.0001,0.0001,0.05
2026-07-31T05:04:52Z,52420608,0.7667,46,36,282,253168,80,292,0,0,0.0001,0.0001,0.005
2026-07-31T05:06:52Z,56868864,0.8667,52,32,296,269872,90,306,0,0,0.0001,0.0001,0.05
2026-07-31T05:08:52Z,57151488,0.6667,40,28,300,272880,104,310,0,0,0.0001,0.0001,0.005
2026-07-31T05:10:52Z,55111680,0.6667,40,30,356,340144,123,368,0,0,0.0001,0.0001,0.05
2026-07-31T05:12:52Z,51888128,0.55,33,20,393,362336,163,408,0,0,0.0001,0.0001,0.1
2026-07-31T05:14:52Z,51875840,0.4,24,20,393,362336,172,408,0,0,0.0001,0.0001,0.0
2026-07-31T05:16:52Z,51986432,0.35,21,16,393,362336,181,408,0,0,0.0001,0.0001,0.0001
2026-07-31T05:18:52Z,52015104,0.6,36,22,400,372368,190,415,0,0,0.0001,0.0001,0.01
2026-07-31T05:20:52Z,51490816,0.4333,26,24,407,383040,203,422,0,0,0.00025,0.0001,0.0001
2026-07-31T05:22:52Z,44728320,0.9,54,20,409,385184,238,424,0,0,0.0001,0.0001,0.005
2026-07-31T05:24:52Z,44679168,0.3667,22,20,409,384864,247,424,0,0,0.00025,0.0001,0.0
2026-07-31T05:26:52Z,47390720,0.3833,23,18,409,384864,256,424,0,0,0.0001,0.0001,0.0001
2026-07-31T05:28:52Z,47353856,0.4833,29,22,409,383904,272,424,0,0,0.0001,0.0001,0.0001
2026-07-31T05:30:52Z,47267840,0.5333,32,22,411,384768,282,426,0,0,0.00025,0.0001,0.005
2026-07-31T05:32:52Z,46432256,1.0333,62,26,421,395136,320,436,0,0,0.00025,0.0001,0.05
2026-07-31T05:34:52Z,46415872,0.5667,34,26,426,403696,336,441,0,0,0.0001,0.0001,0.005
